ranges,sums,n,average_count
"(-1.62e+05,1.62e+06]",9129836.368520383,2117,0.7055580580495171
"(1.62e+06,3.24e+06]",689693.934815125,1668,0.05329987238046778
"(3.24e+06,4.87e+06]",447863.53664272826,1603,0.03461110521918842
"(4.87e+06,6.49e+06]",311842.15604667296,1494,0.024099308810933577
"(6.49e+06,8.11e+06]",276457.2974311545,1441,0.021364750257923275
"(8.11e+06,9.73e+06]",247260.25275948335,1361,0.01910838888321576
"(9.73e+06,1.14e+07]",194678.62331485839,1265,0.015044855774566917
"(1.14e+07,1.3e+07]",162730.87469235715,1192,0.012575918701952198
"(1.3e+07,1.46e+07]",132141.59575656394,1128,0.010211964807062076
"(1.46e+07,1.62e+07]",136923.51647887612,1172,0.01058151389451501
"(1.62e+07,1.78e+07]",114895.62795027634,973,0.008879188285837218
"(1.78e+07,1.95e+07]",115896.73165997276,930,0.00895655405240835
"(1.95e+07,2.11e+07]",91773.73737418668,897,0.007092317683254542
"(2.11e+07,2.27e+07]",90450.57455371943,903,0.006990063036795474
"(2.27e+07,2.43e+07]",84310.0675091465,937,0.006515521757967451
"(2.43e+07,2.6e+07]",79481.88139325644,925,0.006142397259090905
"(2.6e+07,2.76e+07]",77095.64533293975,911,0.005957987811560179
"(2.76e+07,2.92e+07]",70263.77935637305,901,0.0054300179885849
"(2.92e+07,3.08e+07]",67551.55838485342,927,0.005220416273458357
"(3.08e+07,3.24e+07]",50114.585426913436,753,0.0038728787840805576
"(3.24e+07,3.41e+07]",40788.72097164183,683,0.003152171583086021
"(3.41e+07,3.57e+07]",34924.14323060742,635,0.0026989542508990202
"(3.57e+07,3.73e+07]",27554.271114435778,549,0.0021294070598575163
"(3.73e+07,3.89e+07]",20736.262041160633,483,0.0016025081049002756
"(3.89e+07,4.06e+07]",18221.92063070614,411,0.0014081986155264523
"(4.06e+07,4.22e+07]",13158.682753416288,361,0.0010169092057336297
"(4.22e+07,4.38e+07]",9394.293384072278,283,7.259954208672919e-4
"(4.38e+07,4.54e+07]",6756.8697755155235,262,5.22174081207419e-4
"(4.54e+07,4.7e+07]",5548.17835105208,209,4.287658381893965e-4
"(4.7e+07,4.87e+07]",11555.982850413477,211,8.930518017720651e-4
"(4.87e+07,5.03e+07]",7521.068487619421,233,5.812317178957478e-4
"(5.03e+07,5.19e+07]",7651.11230783628,270,5.912815656202823e-4
"(5.19e+07,5.35e+07]",8622.899124692207,319,6.663817088937273e-4
"(5.35e+07,5.51e+07]",7086.533520776176,288,5.47650650833292e-4
"(5.51e+07,5.68e+07]",8074.085532285348,334,6.239691357807092e-4
"(5.68e+07,5.84e+07]",8599.518701519786,339,6.645748587702368e-4
"(5.84e+07,6e+07]",10146.460241126077,399,7.841232301259472e-4
"(6e+07,6.16e+07]",11324.001824629426,385,8.75124198751612e-4
"(6.16e+07,6.33e+07]",8224.292544353266,327,6.355772044757275e-4
"(6.33e+07,6.49e+07]",7447.196772657789,299,5.755228769429319e-4
"(6.49e+07,6.65e+07]",9184.317013223288,314,7.097683479524563e-4
"(6.65e+07,6.81e+07]",6480.549615722111,262,5.008199290107824e-4
"(6.81e+07,6.97e+07]",4406.222872347399,196,3.4051498051663635e-4
"(6.97e+07,7.14e+07]",3642.6497345268594,172,2.8150568850379964e-4
"(7.14e+07,7.3e+07]",3146.500249379179,150,2.4316302242381624e-4
"(7.3e+07,7.46e+07]",3500.586098233463,163,2.7052694372714314e-4
"(7.46e+07,7.62e+07]",2444.066401981241,88,1.8887860359379288e-4
"(7.62e+07,7.79e+07]",3006.722011049329,111,2.3236089427904047e-4
"(7.79e+07,7.95e+07]",3652.6333310137748,131,2.822772255462318e-4
"(7.95e+07,8.11e+07]",2608.774792689155,129,2.0160734566556024e-4
"(8.11e+07,8.27e+07]",2681.123355399607,150,2.0719847669444338e-4
"(8.27e+07,8.43e+07]",2217.377640852462,129,1.7135998928049023e-4
"(8.43e+07,8.6e+07]",1885.3796203708066,110,1.4570302576524127e-4
"(8.6e+07,8.76e+07]",3306.776249353826,151,2.5554922725044046e-4
"(8.76e+07,8.92e+07]",3853.732896953372,183,2.978182947934496e-4
"(8.92e+07,9.08e+07]",2958.4947750834303,158,2.2863387075093862e-4
"(9.08e+07,9.25e+07]",3036.718498794608,155,2.346790369913063e-4
"(9.25e+07,9.41e+07]",2732.1148184197373,137,2.111391209922576e-4
"(9.41e+07,9.57e+07]",2106.602343557305,111,1.6279922208986254e-4
"(9.57e+07,9.73e+07]",1467.7009618535997,85,1.1342462215570455e-4
"(9.73e+07,9.89e+07]",828.0108967702323,47,6.398907239820812e-5
"(9.89e+07,1.01e+08]",323.67884998337786,24,2.5014054097771776e-5
"(1.01e+08,1.02e+08]",516.6973264139796,28,3.99306129385873e-5
"(1.02e+08,1.04e+08]",361.0557914308137,29,2.7902561751031855e-5
"(1.04e+08,1.05e+08]",293.0337790896106,23,2.2645788574071013e-5
"(1.05e+08,1.07e+08]",292.20499554750177,28,2.258173979127684e-5
"(1.07e+08,1.09e+08]",394.3199279535611,31,3.0473229901077492e-5
"(1.09e+08,1.1e+08]",393.87691437401446,34,3.0438993602828794e-5
"(1.1e+08,1.12e+08]",213.05209741759373,18,1.646476651384887e-5
"(1.12e+08,1.14e+08]",490.0102867703355,37,3.78682259355756e-5
"(1.14e+08,1.15e+08]",828.1064631839262,66,6.39964578157051e-5
