ccl4_10w_vs_ccl4_6w_a2b	ccl4_10w_vs_ccl4_6w_b2a	ccl4_10w_vs_ctrl_10w_a2b	ccl4_10w_vs_ctrl_10w_b2a	ccl4_18w_vs_ccl4_10w_a2b	ccl4_18w_vs_ccl4_10w_b2a	ccl4_18w_vs_ccl4_6w_a2b	ccl4_18w_vs_ccl4_6w_b2a	ccl4_18w_vs_ctrl_18w_a2b	ccl4_18w_vs_ctrl_18w_b2a	ccl4_6w_vs_ctrl_6w_a2b	ccl4_6w_vs_ctrl_6w_b2a	ctrl_10w_vs_ctrl_6w_a2b	ctrl_10w_vs_ctrl_6w_b2a	ctrl_18w_vs_ctrl_10w_a2b	ctrl_18w_vs_ctrl_10w_b2a	ctrl_18w_vs_ctrl_6w_a2b	ctrl_18w_vs_ctrl_6w_b2a
0.57	-1.92	0.37	-2.77	0.01	1.58	-0.03	1.54	-4.33	2.51	-1.21	0.4	-0.37	-0.48	0.11	-0.46	-0.88	-0.7
0.57	-0.45	0.37	1.24	1.08	-0.33	-0.03	-0.9	-1.11	2.51	-0.21	0.4	0.34	-0.46	0.11	-0.53	0.11	0.74
-2.59	-1.04	0.37	1.24	0.64	-0.31	-2.99	-0.89	0.27	2.51	-2.13	0.4	0.46	-0.39	0.11	-1.84	0.11	-0.42
0.57	0.49	-1.02	1.24	-1.3	0.27	-0.09	-0.91	1.38	2.51	0.46	0.4	-0.83	-0.16	-0.55	-0.02	0.11	-0.71
1.43	0.72	-1.66	-0.91	2.24	1	-0.03	0.74	-0.73	-6.07	0.46	-4.15	0.43	-0.14	-0.42	-0.28	-0.18	-1.24
-1.09	0.71	-1.66	-0.67	2.72	-0.31	-0.07	-0.31	0.04	7.31	0.95	0.5	-0.94	0.13	-0.42	0.41	-0.52	-1.1
-0.8	0.7	0.72	5.37	0.5	-0.08	0.42	-0.85	0.13	7.31	-1.04	-1.3	-0.35	-0.61	-0.72	-0.04	-0.89	0.39
0.83	-0.57	0.66	5.37	1.94	-1	-0.22	-0.85	0.05	0.59	0.32	2.56	-0.46	-0.68	-0.59	0.19	0.73	0.03
-2.47	-0.15	0.92	1.8	-0.98	-0.1	0.61	-0.85	-0.79	1.02	0.18	2.56	-0.38	-0.28	-0.53	-0.31	-0.47	0
0.75	-0.14	-0.65	1.74	1.85	-0.81	1.19	-0.47	1.04	-1.16	0.64	1.02	0.83	0.2	-0.59	0.23	-0.88	0.12
1.73	-0.21	0.09	-0.59	1.99	-2.72	-2.55	0.25	1.55	-0.62	-1.65	-10.84	-0.1	-0.18	-0.78	0.23	-0.81	0.28
-1.33	0.18	0.24	-2.25	1.37	-1.56	0.79	-0.39	0.43	-1.36	-3.4	0.45	0.13	-0.47	-0.77	-0.93	-0.67	0.28
0.88	0.12	-1.19	-0.4	0.86	-3.51	-0.69	-0.18	-3.09	-0.68	-0.41	1.63	0.52	-0.22	0.08	0.11	-0.92	0.16
-1.46	-0.23	0.21	1.41	0.86	-0.36	-0.15	0.01	-0.99	2.26	-0.39	1.46	0.22	-0.43	0.12	-0.64	-1.01	-0.4
0.32	-0.28	1.09	-2.22	2.51	-1.51	-0.15	0.42	-0.34	-1.84	0.03	0.3	-0.59	0.63	-1.54	-0.19	-1.81	0.6
-0.45	-0.06	0.76	5.45	1.19	-0.23	0.73	-0.49	-0.96	-2.76	-0.23	0.77	-0.49	-0.34	-1.18	0.94	-1.11	-2.19
-0.73	-0.05	0.87	-0.01	1.55	-0.51	3.28	-1.03	-0.7	-2.76	-0.16	0.77	-0.02	-0.34	-0.28	-0.3	0.28	-0.43
-1.07	0.02	0.28	0.03	1.55	0.19	0.57	-0.05	-0.7	0.83	0.81	-6.11	0.23	-0.36	0.06	-0.03	0.4	-0.43
-0.93	-0.21	3.07	-0.64	1.81	0.32	0.3	-1.12	-0.24	-2.37	1.47	1.59	0.23	0.16	-0.98	0.3	-0.17	0.94
-1.31	0.78	0.79	-0.64	4.52	-1.02	-0.4	0.7	0.59	-2.37	1.56	-2.09	-0.18	-0.56	-1.49	-0.03	-0.73	-3.13
-0.96	-0.5	-0.12	-0.64	-0.24	-0.61	-0.4	2.21	-0.45	-1.31	1.03	-0.56	-0.16	-0.19	-0.78	-0.01	-1.26	0.26
0.84	-0.06	0.97	-0.26	0.95	0.45	-1.13	-0.39	4.29	-1.31	0.19	-0.56	1.15	-0.76	-0.86	0.01	-0.39	0.37
-0.99	0.05	0.75	0.56	1.04	-0.34	0.91	-3.54	0.15	-1.31	0.28	1.33	-0.8	2.73	-0.09	-0.19	-0.39	0.23
-0.99	-0.6	0.09	-0.07	2.34	-0.89	-0.31	-0.53	2.05	7.03	1.72	-3.3	-0.21	-0.8	-0.1	-0.12	0.54	0.32
-1.56	-0.65	0.09	-0.07	2.6	1.01	0.27	0.12	1.5	7.03	0.66	0.35	-0.45	0.3	-0.36	-0.15	-0.86	0.98
