chr,region,ctrl_18w_methy_site_num,chr,region,ccl4_18w_methy_site_num
chr1,3500000,2379,chr1,3500000,2468
chr1,4e+06,2389,chr1,4e+06,2414
chr1,4500000,2575,chr1,4500000,2647
chr1,5e+06,3219,chr1,5e+06,3523
chr1,5500000,2168,chr1,5500000,2154
chr1,6e+06,2185,chr1,6e+06,2350
chr1,6500000,2135,chr1,6500000,2387
chr1,7e+06,2357,chr1,7e+06,2530
chr1,7500000,2800,chr1,7500000,2951
chr1,8e+06,1423,chr1,8e+06,1505
chr1,8500000,1502,chr1,8500000,1594
chr1,9e+06,1588,chr1,9e+06,1707
chr1,9500000,1772,chr1,9500000,1867
chr1,1e+07,3434,chr1,1e+07,3791
chr1,10500000,3103,chr1,10500000,3380
chr1,1.1e+07,1996,chr1,1.1e+07,2055
chr1,11500000,2348,chr1,11500000,2474
chr1,1.2e+07,1884,chr1,1.2e+07,1838
chr1,12500000,2253,chr1,12500000,2354
chr1,1.3e+07,3767,chr1,1.3e+07,3991
chr1,13500000,3815,chr1,13500000,4315
chr1,1.4e+07,3038,chr1,1.4e+07,3427
chr1,14500000,2699,chr1,14500000,2933
chr1,1.5e+07,2729,chr1,1.5e+07,2920
chr1,15500000,2417,chr1,15500000,2640
chr1,1.6e+07,2745,chr1,1.6e+07,2968
chr1,16500000,3049,chr1,16500000,3367
chr1,1.7e+07,2569,chr1,1.7e+07,2777
chr1,17500000,2343,chr1,17500000,2472
chr1,1.8e+07,2090,chr1,1.8e+07,2243
chr1,18500000,2188,chr1,18500000,2450
chr1,1.9e+07,2145,chr1,1.9e+07,2246
chr1,19500000,2662,chr1,19500000,2818
chr1,2e+07,2254,chr1,2e+07,2254
chr1,20500000,2036,chr1,20500000,2112
chr1,2.1e+07,2970,chr1,2.1e+07,3386
chr1,21500000,2998,chr1,21500000,3378
chr1,2.2e+07,2577,chr1,2.2e+07,2614
chr1,22500000,2867,chr1,22500000,3021
chr1,2.3e+07,2822,chr1,2.3e+07,2767
chr1,23500000,2860,chr1,23500000,3237
chr1,2.4e+07,2950,chr1,2.4e+07,3227
chr1,24500000,3385,chr1,24500000,3737
chr1,2.5e+07,3030,chr1,2.5e+07,3205
chr1,25500000,3108,chr1,25500000,3180
chr1,2.6e+07,2491,chr1,2.6e+07,2521
chr1,26500000,1787,chr1,26500000,1703
chr1,2.7e+07,1719,chr1,2.7e+07,1717
chr1,27500000,1829,chr1,27500000,1749
chr1,2.8e+07,1934,chr1,2.8e+07,1871
chr1,28500000,2110,chr1,28500000,2067
chr1,2.9e+07,1784,chr1,2.9e+07,1605
chr1,29500000,1857,chr1,29500000,1881
chr1,3e+07,1987,chr1,3e+07,2026
chr1,30500000,2208,chr1,30500000,2240
chr1,3.1e+07,3191,chr1,3.1e+07,3500
chr1,31500000,2469,chr1,31500000,2694
chr1,3.2e+07,2113,chr1,3.2e+07,2159
chr1,32500000,2108,chr1,32500000,2094
chr1,3.3e+07,2423,chr1,3.3e+07,2563
chr1,33500000,2037,chr1,33500000,2156
chr1,3.4e+07,4531,chr1,3.4e+07,5241
chr1,34500000,5780,chr1,34500000,6674
chr1,3.5e+07,3745,chr1,3.5e+07,4637
chr1,35500000,2941,chr1,35500000,3296
chr1,3.6e+07,3413,chr1,3.6e+07,3903
chr1,36500000,4419,chr1,36500000,5517
chr1,3.7e+07,4474,chr1,3.7e+07,5485
chr1,37500000,4572,chr1,37500000,5620
chr1,3.8e+07,4361,chr1,3.8e+07,5027
chr1,38500000,5019,chr1,38500000,5578
chr1,3.9e+07,4486,chr1,3.9e+07,5267
chr1,39500000,4769,chr1,39500000,5844
chr1,4e+07,4996,chr1,4e+07,5781
chr1,40500000,4035,chr1,40500000,4768
chr1,4.1e+07,4129,chr1,4.1e+07,4451
chr1,41500000,3679,chr1,41500000,3962
chr1,4.2e+07,2891,chr1,4.2e+07,2969
chr1,42500000,3620,chr1,42500000,3726
chr1,4.3e+07,4291,chr1,4.3e+07,4661
chr1,43500000,3817,chr1,43500000,4321
chr1,4.4e+07,3198,chr1,4.4e+07,3470
chr1,44500000,2763,chr1,44500000,3063
chr1,4.5e+07,2071,chr1,4.5e+07,2085
chr1,45500000,2132,chr1,45500000,2241
chr1,4.6e+07,2775,chr1,4.6e+07,2879
chr1,46500000,2648,chr1,46500000,2748
chr1,4.7e+07,2659,chr1,4.7e+07,2841
chr1,47500000,1858,chr1,47500000,1931
chr1,4.8e+07,2101,chr1,4.8e+07,2270
chr1,48500000,1719,chr1,48500000,1726
chr1,4.9e+07,1643,chr1,4.9e+07,1619
chr1,49500000,1923,chr1,49500000,1861
chr1,5e+07,1986,chr1,5e+07,1835
chr1,50500000,1869,chr1,50500000,1701
chr1,5.1e+07,2334,chr1,5.1e+07,2335
chr1,51500000,3502,chr1,51500000,3675
chr1,5.2e+07,3511,chr1,5.2e+07,4082
chr1,52500000,3721,chr1,52500000,4153
chr1,5.3e+07,2517,chr1,5.3e+07,2828
chr1,53500000,2800,chr1,53500000,3070
chr1,5.4e+07,2872,chr1,5.4e+07,3111
chr1,54500000,2787,chr1,54500000,2930
chr1,5.5e+07,3473,chr1,5.5e+07,3734
chr1,55500000,3093,chr1,55500000,3666
chr1,5.6e+07,3053,chr1,5.6e+07,3278
chr1,56500000,2343,chr1,56500000,2365
chr1,5.7e+07,3105,chr1,5.7e+07,3359
chr1,57500000,3594,chr1,57500000,3829
chr1,5.8e+07,4058,chr1,5.8e+07,4557
chr1,58500000,3800,chr1,58500000,4320
chr1,5.9e+07,3521,chr1,5.9e+07,3979
chr1,59500000,3489,chr1,59500000,3951
chr1,6e+07,2853,chr1,6e+07,3160
chr1,60500000,2729,chr1,60500000,3003
chr1,6.1e+07,3197,chr1,6.1e+07,3506
chr1,61500000,3317,chr1,61500000,3490
chr1,6.2e+07,2721,chr1,6.2e+07,2742
chr1,62500000,3123,chr1,62500000,3254
chr1,6.3e+07,4102,chr1,6.3e+07,4633
chr1,63500000,3801,chr1,63500000,4265
chr1,6.4e+07,3414,chr1,6.4e+07,3578
chr1,64500000,3649,chr1,64500000,3994
chr1,6.5e+07,3951,chr1,6.5e+07,4564
chr1,65500000,3336,chr1,65500000,3693
chr1,6.6e+07,2305,chr1,6.6e+07,2453
chr1,66500000,2930,chr1,66500000,2990
chr1,6.7e+07,3429,chr1,6.7e+07,3639
chr1,67500000,3124,chr1,67500000,3239
chr1,6.8e+07,2137,chr1,6.8e+07,2134
chr1,68500000,1569,chr1,68500000,1606
chr1,6.9e+07,1692,chr1,6.9e+07,1543
chr1,69500000,3194,chr1,69500000,3410
chr1,7e+07,3754,chr1,7e+07,3782
chr1,70500000,2697,chr1,70500000,2760
chr1,7.1e+07,2848,chr1,7.1e+07,2937
chr1,71500000,3766,chr1,71500000,4022
chr1,7.2e+07,4615,chr1,7.2e+07,5173
chr1,72500000,4686,chr1,72500000,5371
chr1,7.3e+07,4066,chr1,7.3e+07,4856
chr1,73500000,3219,chr1,73500000,3532
chr1,7.4e+07,3193,chr1,7.4e+07,3705
chr1,74500000,3799,chr1,74500000,4571
chr1,7.5e+07,3949,chr1,7.5e+07,4893
chr1,75500000,3783,chr1,75500000,4815
chr1,7.6e+07,4011,chr1,7.6e+07,4383
chr1,76500000,3061,chr1,76500000,3222
chr1,7.7e+07,2759,chr1,7.7e+07,2913
chr1,77500000,3383,chr1,77500000,3774
chr1,7.8e+07,3141,chr1,7.8e+07,3446
chr1,78500000,3963,chr1,78500000,4687
chr1,7.9e+07,2770,chr1,7.9e+07,3160
chr1,79500000,1780,chr1,79500000,1862
chr1,8e+07,3418,chr1,8e+07,3821
chr1,80500000,3247,chr1,80500000,3630
chr1,8.1e+07,2795,chr1,8.1e+07,2873
chr1,81500000,2505,chr1,81500000,2469
chr1,8.2e+07,2622,chr1,8.2e+07,2801
chr1,82500000,3611,chr1,82500000,3947
chr1,8.3e+07,3823,chr1,8.3e+07,4326
chr1,83500000,3127,chr1,83500000,3434
chr1,8.4e+07,2391,chr1,8.4e+07,2496
chr1,84500000,2829,chr1,84500000,3053
chr1,8.5e+07,3456,chr1,8.5e+07,3777
chr1,85500000,2975,chr1,85500000,3521
chr1,8.6e+07,4031,chr1,8.6e+07,4768
chr1,86500000,4468,chr1,86500000,5293
chr1,8.7e+07,3160,chr1,8.7e+07,3578
chr1,87500000,3683,chr1,87500000,4290
chr1,8.8e+07,3663,chr1,8.8e+07,4296
chr1,88500000,4882,chr1,88500000,5338
chr1,8.9e+07,4045,chr1,8.9e+07,4592
chr1,89500000,4159,chr1,89500000,5039
chr1,9e+07,5685,chr1,9e+07,6684
chr1,90500000,4343,chr1,90500000,5105
chr1,9.1e+07,3805,chr1,9.1e+07,4618
chr1,91500000,4145,chr1,91500000,4998
chr1,9.2e+07,4156,chr1,9.2e+07,5016
chr1,92500000,3537,chr1,92500000,4278
chr1,9.3e+07,4003,chr1,9.3e+07,4974
chr1,93500000,3729,chr1,93500000,4777
chr1,9.4e+07,2700,chr1,9.4e+07,3277
chr1,94500000,2352,chr1,94500000,2500
chr1,9.5e+07,2376,chr1,9.5e+07,2271
chr1,95500000,2336,chr1,95500000,2365
chr1,9.6e+07,2548,chr1,9.6e+07,2528
chr1,96500000,2124,chr1,96500000,2047
chr1,9.7e+07,2552,chr1,9.7e+07,2540
chr1,97500000,2031,chr1,97500000,2037
chr1,9.8e+07,3904,chr1,9.8e+07,4139
chr1,98500000,2804,chr1,98500000,2983
chr1,9.9e+07,1884,chr1,9.9e+07,1910
chr1,99500000,1890,chr1,99500000,1872
chr1,1e+08,1909,chr1,1e+08,1903
chr1,100500000,1762,chr1,100500000,1831
chr1,1.01e+08,1995,chr1,1.01e+08,2183
chr1,101500000,1979,chr1,101500000,1999
chr1,1.02e+08,2127,chr1,1.02e+08,2188
chr1,102500000,1912,chr1,102500000,1949
chr1,1.03e+08,1925,chr1,1.03e+08,1936
chr1,103500000,2020,chr1,103500000,2141
chr1,1.04e+08,1822,chr1,1.04e+08,1798
chr1,104500000,1872,chr1,104500000,1927
chr1,1.05e+08,2380,chr1,1.05e+08,2355
chr1,105500000,2454,chr1,105500000,2667
chr1,1.06e+08,2949,chr1,1.06e+08,3136
chr1,106500000,3288,chr1,106500000,3636
chr1,1.07e+08,3430,chr1,1.07e+08,3832
chr1,107500000,2053,chr1,107500000,2185
chr1,1.08e+08,2235,chr1,1.08e+08,2320
chr1,108500000,1946,chr1,108500000,1917
chr1,1.09e+08,1973,chr1,1.09e+08,1978
chr1,109500000,1830,chr1,109500000,1875
chr1,1.1e+08,1437,chr1,1.1e+08,1393
chr1,110500000,1548,chr1,110500000,1453
chr1,1.11e+08,1751,chr1,1.11e+08,1694
chr1,111500000,1822,chr1,111500000,1851
chr1,1.12e+08,1637,chr1,1.12e+08,1670
chr1,112500000,1764,chr1,112500000,1834
chr1,1.13e+08,1966,chr1,1.13e+08,2171
chr1,113500000,1695,chr1,113500000,1710
chr1,1.14e+08,1572,chr1,1.14e+08,1690
chr1,114500000,1917,chr1,114500000,1906
chr1,1.15e+08,1845,chr1,1.15e+08,1857
chr1,115500000,1565,chr1,115500000,1506
chr1,1.16e+08,1739,chr1,1.16e+08,1730
chr1,116500000,1777,chr1,116500000,1784
chr1,1.17e+08,1620,chr1,1.17e+08,1558
chr1,117500000,1265,chr1,117500000,1347
chr1,1.18e+08,2384,chr1,1.18e+08,2485
chr1,118500000,3253,chr1,118500000,3536
chr1,1.19e+08,3393,chr1,1.19e+08,3904
chr1,119500000,3399,chr1,119500000,4314
chr1,1.2e+08,3201,chr1,1.2e+08,3329
chr1,120500000,3482,chr1,120500000,4133
chr1,1.21e+08,3141,chr1,1.21e+08,3566
chr1,121500000,3318,chr1,121500000,3704
chr1,1.22e+08,2254,chr1,1.22e+08,2638
chr1,122500000,1862,chr1,122500000,1880
chr1,1.23e+08,1947,chr1,1.23e+08,1906
chr1,123500000,1690,chr1,123500000,1687
chr1,1.24e+08,1592,chr1,1.24e+08,1616
chr1,124500000,1967,chr1,124500000,1940
chr1,1.25e+08,1632,chr1,1.25e+08,1690
chr1,125500000,2677,chr1,125500000,2935
chr1,1.26e+08,2675,chr1,1.26e+08,3127
chr1,126500000,2900,chr1,126500000,3138
chr1,1.27e+08,2965,chr1,1.27e+08,3241
chr1,127500000,3249,chr1,127500000,3640
chr1,1.28e+08,3088,chr1,1.28e+08,3538
chr1,128500000,3005,chr1,128500000,3384
chr1,1.29e+08,2693,chr1,1.29e+08,3100
chr1,129500000,2385,chr1,129500000,2478
chr1,1.3e+08,2352,chr1,1.3e+08,2413
chr1,130500000,2893,chr1,130500000,2949
chr1,1.31e+08,3508,chr1,1.31e+08,3956
chr1,131500000,3554,chr1,131500000,4170
chr1,1.32e+08,3383,chr1,1.32e+08,3929
chr1,132500000,4201,chr1,132500000,5086
chr1,1.33e+08,4484,chr1,1.33e+08,5290
chr1,133500000,4117,chr1,133500000,5159
chr1,1.34e+08,4059,chr1,1.34e+08,4812
chr1,134500000,4264,chr1,134500000,5415
chr1,1.35e+08,4168,chr1,1.35e+08,4735
chr1,135500000,4407,chr1,135500000,5273
chr1,1.36e+08,4357,chr1,1.36e+08,5458
chr1,136500000,4779,chr1,136500000,5660
chr1,1.37e+08,5047,chr1,1.37e+08,5821
chr1,137500000,3558,chr1,137500000,4028
chr1,1.38e+08,3036,chr1,1.38e+08,3261
chr1,138500000,3392,chr1,138500000,3473
chr1,1.39e+08,4123,chr1,1.39e+08,4504
chr1,139500000,3946,chr1,139500000,4195
chr1,1.4e+08,2246,chr1,1.4e+08,2264
chr1,140500000,2208,chr1,140500000,2180
chr1,1.41e+08,2219,chr1,1.41e+08,2175
chr1,141500000,2075,chr1,141500000,2109
chr1,1.42e+08,1926,chr1,1.42e+08,1878
chr1,142500000,1820,chr1,142500000,1777
chr1,1.43e+08,2064,chr1,1.43e+08,1988
chr1,143500000,2225,chr1,143500000,2305
chr1,1.44e+08,3323,chr1,1.44e+08,3599
chr1,144500000,2710,chr1,144500000,2805
chr1,1.45e+08,2194,chr1,1.45e+08,2193
chr1,145500000,2079,chr1,145500000,2048
chr1,1.46e+08,2007,chr1,1.46e+08,1948
chr1,146500000,2254,chr1,146500000,2374
chr1,1.47e+08,2123,chr1,1.47e+08,2109
chr1,147500000,2261,chr1,147500000,2104
chr1,1.48e+08,1790,chr1,1.48e+08,1747
chr1,148500000,2121,chr1,148500000,2080
chr1,1.49e+08,2043,chr1,1.49e+08,2065
chr1,149500000,2188,chr1,149500000,2103
chr1,1.5e+08,2717,chr1,1.5e+08,2790
chr1,150500000,3200,chr1,150500000,3486
chr1,1.51e+08,3984,chr1,1.51e+08,4258
chr1,151500000,4308,chr1,151500000,4908
chr1,1.52e+08,4846,chr1,1.52e+08,5377
chr1,152500000,4499,chr1,152500000,5027
chr1,1.53e+08,4803,chr1,1.53e+08,5372
chr1,153500000,4854,chr1,153500000,5472
chr1,1.54e+08,3911,chr1,1.54e+08,4659
chr1,154500000,3574,chr1,154500000,3732
chr1,1.55e+08,3580,chr1,1.55e+08,3914
chr1,155500000,3969,chr1,155500000,4781
chr1,1.56e+08,3600,chr1,1.56e+08,4058
chr1,156500000,2379,chr1,156500000,2846
chr1,1.57e+08,3054,chr1,1.57e+08,3547
chr1,157500000,2377,chr1,157500000,2773
chr1,1.58e+08,2451,chr1,1.58e+08,2697
chr1,158500000,2377,chr1,158500000,2693
chr1,1.59e+08,2216,chr1,1.59e+08,2500
